index	id	firstname	surname	born	died	bornCountry	diedCountry	gender	year	category
326	15	Johannes Diderik	van der Waals	11/23/1837	3/8/1923	the Netherlands	the Netherlands	male	1910.0	physics
327	260	Henry	Taube	11/30/1915	11/16/2005	Canada	USA	male	1983.0	chemistry
328	308	Robert	Brny	04/22/1876	4/8/1936	Austria	Sweden	male	1914.0	medicine
329	303	Emil Theodor	Kocher	08/25/1841	7/27/2017	Switzerland	Switzerland	male	1909.0	medicine
330	37	Sir Chandrasekhara Venkata	Raman	11/07/1888	11/21/1970	India	India	male	1930.0	physics
331	247	John Warcup	Cornforth	9/7/1917	12/8/2013	Australia		male	1975.0	chemistry
332	222	Frederick	Sanger	8/13/1918	11/19/2013	United Kingdom	United Kingdom	male	1958.0	chemistry
333	35	Owen Willans	Richardson	04/26/1879	2/15/1959	United Kingdom	United Kingdom	male	1928.0	physics
334	201	George	de Hevesy	08/01/1885	7/5/1966	Austria-Hungary (now Hungary)	West Germany (now Germany)	male	1943.0	chemistry
335	318	Charles Jules Henri	Nicolle	09/21/1866	2/28/1936	France	Tunisia	male	1928.0	medicine
336	596	George Bernard	Shaw	07/26/1856	11/2/1950	Ireland	United Kingdom	male	1925.0	literature
337	637	Jean-Paul	Sartre	6/21/1905	4/15/1980	France	France	male	1964.0	literature
338	647	Heinrich	B_ll	12/21/1917	7/16/1985	Germany	West Germany (now Germany)	male	1972.0	literature
339	643	Samuel	Beckett	4/13/1906	12/22/1989	Ireland	France	male	1969.0	literature
340	667	Octavio	Paz	3/31/1914	4/19/1998	Mexico	Mexico	male	1990.0	literature
341	923	Aziz	Sancar	9/8/1946	0000-00-00	Turkey		male	2015.0	chemistry
342	922	Paul	Modrich	6/13/1946	0000-00-00	USA		male	2015.0	chemistry
343	922	Paul	Modrich	6/13/1946	0000-00-00	USA		male	2015.0	chemistry
344	921	Tomas	Lindahl	1/28/1938	0000-00-00	Sweden		male	2015.0	chemistry
345	921	Tomas	Lindahl	1/28/1938	0000-00-00	Sweden		male	2015.0	chemistry
346	772	Clive W.J.	Granger	9/4/1934	5/27/2009	United Kingdom	USA	male	2003.0	economics
347	771	Robert F.	Engle III	11/10/1942	0000-00-00	USA		male	2003.0	economics
348	853	Akira	Suzuki	9/12/1930	0000-00-00	Japan		male	2010.0	chemistry
349	852	Ei-ichi	Negishi	7/14/1935	0000-00-00	China		male	2010.0	chemistry
350	851	Richard F.	Heck	8/15/1931	10/9/2015	USA	Philippines	male	2010.0	chemistry
351	753	Raymond	Davis Jr.	10/14/1914	5/31/2006	USA	USA	male	2002.0	physics
352	754	Masatoshi	Koshiba	9/19/1926	0000-00-00	Japan		male	2002.0	physics
353	755	Riccardo	Giacconi	10/6/1931	0000-00-00	Italy		male	2002.0	physics
354	766	Alexei A.	Abrikosov	6/25/1928	0000-00-00	USSR (now Russia)		male	2003.0	physics
355	767	Vitaly L.	Ginzburg	10/4/1916	11/8/2009	Russia		male	2003.0	physics
356	768	Anthony J.	Leggett	3/26/1938	0000-00-00	United Kingdom		male	2003.0	physics
357	770	Roderick	MacKinnon	2/19/1956	0000-00-00	USA		male	2003.0	chemistry
358	770	Roderick	MacKinnon	2/19/1956	0000-00-00	USA		male	2003.0	chemistry
359	878	Robert J.	Lefkowitz	4/15/1943	0000-00-00	USA		male	2012.0	chemistry
360	879	Brian K.	Kobilka	5/30/1955	0000-00-00	USA		male	2012.0	chemistry
361	878	Robert J.	Lefkowitz	4/15/1943	0000-00-00	USA		male	2012.0	chemistry
362	841	Venkatraman	Ramakrishnan	0000/00/00	0000-00-00	India		male	2009.0	chemistry
363	842	Thomas A.	Steitz	8/23/1940	0000-00-00	USA		male	2009.0	chemistry
364	842	Thomas A.	Steitz	8/23/1940	0000-00-00	USA		male	2009.0	chemistry
365	740	Carl E.	Wieman	3/26/1951	0000-00-00	USA		male	2001.0	physics
366	738	Eric A.	Cornell	12/19/1961	0000-00-00	USA		male	2001.0	physics
367	739	Wolfgang	Ketterle	10/21/1957	0000-00-00	West Germany (now Germany)		male	2001.0	physics
368	912	Patrick	Modiano	7/30/1945	0000-00-00	France		male	2014.0	literature
369	638	Mikhail Aleksandrovich	Sholokhov	5/24/1905	2/21/1984	Russia	USSR	male	1965.0	literature
370	609	Roger	Martin du Gard	03/23/1881	8/22/1958	France	France	male	1937.0	literature
371	622	P_r Fabian	Lagerkvist	05/23/1891	7/11/1974	Sweden	Sweden	male	1951.0	literature
372	62	Walther	Bothe	01/08/1891	2/8/1957	Germany	West Germany (now Germany)	male	1954.0	physics
373	62	Walther	Bothe	01/08/1891	2/8/1957	Germany	West Germany (now Germany)	male	1954.0	physics
374	694	Lawrence R.	Klein	9/14/1920	10/20/2013	USA	USA	male	1980.0	economics
375	38	Werner Karl	Heisenberg	12/5/1901	2/1/1976	Germany	West Germany (now Germany)	male	1932.0	physics
376	623	Franois	Mauriac	10/11/1885	9/1/1970	France	France	male	1952.0	literature
377	932	Sir J. Fraser	Stoddart	0000/00/00	0000-00-00	United Kingdom		male	2016.0	chemistry
378	933	Bernard L.	Feringa	0000/00/00	0000-00-00	the Netherlands		male	2016.0	chemistry
379	931	Jean-Pierre	Sauvage	0000/00/00	0000-00-00	France		male	2016.0	chemistry
380	148	Frederick	Reines	3/16/1918	8/26/1998	USA	USA	male	1995.0	physics
381	270	Johann	Deisenhofer	9/30/1943	0000-00-00	Germany		male	1988.0	chemistry
382	272	Hartmut	Michel	7/18/1948	0000-00-00	West Germany (now Germany)		male	1988.0	chemistry
383	271	Robert	Huber	2/20/1937	0000-00-00	Germany		male	1988.0	chemistry
384	270	Johann	Deisenhofer	9/30/1943	0000-00-00	Germany		male	1988.0	chemistry
385	418	Godfrey N.	Hounsfield	8/28/1919	8/12/2004	United Kingdom	United Kingdom	male	1979.0	medicine
386	417	Allan M.	Cormack	2/23/1924	5/7/1998	South Africa	USA	male	1979.0	medicine
387	848	Robert G.	Edwards	9/27/1925	4/10/2013	United Kingdom	United Kingdom	male	2010.0	medicine
388	889	Martin	Karplus	3/15/1930	0000-00-00	Austria		male	2013.0	chemistry
